@VishalShaw31,@ravi_shetty5COMR,{'weight': 1}
@Firstcricket,@WaridAdiya,{'weight': 1}
@Firstcricket,@ankidoc,{'weight': 1}
@Firstcricket,@seetharama_kotari,{'weight': 1}
@Firstcricket,@Gaurav_Narayan_Tripathi,{'weight': 1}
@Firstcricket,@shamikaitc,{'weight': 1}
@Firstcricket,@Hitman_45,{'weight': 1}
@Firstcricket,@Raghavendra2342,{'weight': 1}
@Hardikvparekh,@Sarcasm007,{'weight': 2}
@cricketwallah,@krishanu_22,{'weight': 1}
@cricketwallah,@kavithaKJOIQ,{'weight': 11}
@cricketwallah,@The_Kamran_Words,{'weight': 1}
@cricketwallah,@shivam7084,{'weight': 1}
@cricketwallah,@arun_marwah,{'weight': 1}
@cricketwallah,@namanD0EL1,{'weight': 1}
@cricketwallah,@chandana_somashekar,{'weight': 1}
@cricketwallah,@navaneeth_rayavarapu,{'weight': 1}
@StarSportsIndia,@kavithaKJOIQ,{'weight': 17}
@StarSportsIndia,@vivek0505,{'weight': 6}
@StarSportsIndia,@Avilash_Pati,{'weight': 1}
@StarSportsIndia,@Reet_reet1A,{'weight': 17}
@StarSportsIndia,@14.5.1998,{'weight': 1}
@StarSportsIndia,@subrata_dey6U3QS,{'weight': 1}
@StarSportsIndia,@Ubaid4182,{'weight': 1}
@StarSportsIndia,@Vifaq_Raza_,{'weight': 1}
@StarSportsIndia,@visshu1118,{'weight': 1}
@StarSportsIndia,@indrabhushan_84,{'weight': 2}
@StarSportsIndia,@bharat_singh_negiB2Q5S,{'weight': 1}
@StarSportsIndia,@Siddardha_Roy,{'weight': 1}
@StarSportsIndia,@Subhajit_Majumdar,{'weight': 1}
@StarSportsIndia,@karthik_rao_g,{'weight': 1}
@StarSportsIndia,@Mirza_,{'weight': 2}
@StarSportsIndia,@imAnoopT,{'weight': 1}
@StarSportsIndia,@dahal_qiran,{'weight': 1}
@StarSportsIndia,@R_a_y_s,{'weight': 5}
@StarSportsIndia,@avishakdebroy,{'weight': 2}
@StarSportsIndia,@senju.hashirama,{'weight': 2}
@StarSportsIndia,@krishanu_22,{'weight': 1}
@StarSportsIndia,@antriksh_j,{'weight': 1}
@StarSportsIndia,@Shiv2829,{'weight': 1}
@IANS,@IANS,{'weight': 1}
@IANS,@KRHMATH,{'weight': 1}
@IANS,@कौशिकशिल,{'weight': 1}
@IANS,@rajbiharii,{'weight': 1}
@godmemer,@shamikaitc,{'weight': 1}
@godmemer,@abhiseo,{'weight': 1}
@godmemer,@SGTEXRAJNISH_KUMAR,{'weight': 1}
@srinivaschintala,@DushyantWarhekar,{'weight': 8}
@srinivaschintala,@Atul_Kaulgud,{'weight': 1}
@srinivaschintala,@gappu628,{'weight': 3}
@srinivaschintala,@KRHMATH,{'weight': 6}
@srinivaschintala,@soumyadeep4V0UK,{'weight': 2}
@srinivaschintala,@babluMAJB3,{'weight': 1}
@srinivaschintala,@virendra_sharmaANDGB,{'weight': 1}
@srinivaschintala,@amarkantca,{'weight': 1}
@srinivaschintala,@SaturnsOwn,{'weight': 1}
@srinivaschintala,@raj_kumar4IU48,{'weight': 1}
@srinivaschintala,@praveen8M06K,{'weight': 1}
@srinivaschintala,@Narendra_Gunjal,{'weight': 1}
@srinivaschintala,@atarhar,{'weight': 1}
@srinivaschintala,@mohanasundaram6OJQG,{'weight': 1}
@srinivaschintala,@AK6HPTJ,{'weight': 2}
@srinivaschintala,@Indian4nf0o,{'weight': 1}
@srinivaschintala,@कौशिकशिल,{'weight': 3}
@srinivaschintala,@cheemachu,{'weight': 1}
@srinivaschintala,@raj_pandey6PG46,{'weight': 1}
@srinivaschintala,@sajiL405K,{'weight': 1}
@srinivaschintala,@kirito,{'weight': 1}
@srinivaschintala,@Cuper,{'weight': 1}
@srinivaschintala,@मधु_पुत्र_पाटील,{'weight': 1}
@srinivaschintala,@maithili99,{'weight': 1}
@srinivaschintala,@BhaukaalHoonMain,{'weight': 1}
@Abhisek_Dutta,@shekharrr,{'weight': 1}
@TOISports,@ayush_anandG9T05,{'weight': 1}
@TOISports,@prafuljoshi,{'weight': 1}
@TOISports,@timesofindia,{'weight': 1}
@TOISports,@Butt_sanan4,{'weight': 1}
@TOISports,@atarhar,{'weight': 1}
@TOISports,@SANAT_KUMAR_MAHAPATRA,{'weight': 1}
@TOISports,@Bikramsamanta,{'weight': 3}
@TOISports,@boney_bajwa,{'weight': 1}
@TOISports,@Hitman_45,{'weight': 1}
@TOISports,@Hyper4042,{'weight': 1}
@TOISports,@sagar92sharma,{'weight': 1}
@TOISports,@Sukhi_Aatma,{'weight': 1}
@TOISports,@Gulam_Munawar,{'weight': 1}
@TOISports,@kosh55C9E,{'weight': 1}
@TOISports,@ShivaSS,{'weight': 1}
@xtratime,@twitter_koo,{'weight': 1}
@xtratime,@sportingavilash,{'weight': 2}
@kookkuSingh,@manjiBD093,{'weight': 1}
@dilhaicricket,@WasimJaffer14,{'weight': 1}
@robinuthappa,@realmandy_7,{'weight': 1}
@robinuthappa,@ved_parkash_sharmaMOVOJ,{'weight': 2}
@robinuthappa,@SamarthChauhan,{'weight': 4}
@robinuthappa,@sudarshan,{'weight': 2}
