,username,following,followers,totaltweets,retweetcount,retweeters
299,Al_Rasoool,123,25,72,17,"['SiddheshWagal', 'YiAOrg', 'Sanskar18554949', 'terabaaapkabap', 'studentS5082247', 'Yogeshp342', 'MadhavSinghSngr', 'HiteshY09748761', 'MadhuMalti4', 'HrishikeshCP', 'AdityaRJagtap1', 'AmitSroy48773', 'Satyam613', 'AnilDhi24511118', 'Ajendramohan', 'Rajput__adarsh']"
300,SnehVerm1,65,70,1905,2,"['MohitMk10223266', 'Sanjay34066876']"
301,sweetthoughts70,805,137,11020,0,[]
302,TilaiyanCKS,58,1640,2531,31,"['akashkrshaw15', 'S0606Bharat', 'tusharshah2100', 'cksaheb', 'Harshga74160397', '172263bff5c8473', 'ssnegi72', 'AnasuyaRani', 'TanmayGawande16', 'amanjai79472997', 'Akshaya10580961', 'gkg733', 'veersavarkar19', 'bharatsingh526', 'VinayCh36623463', 'sharma1_mohit', 'sanskariravan69', 'PNoviceCrypto', 'shaileshraibhil']"
303,katzy96,101,25,288,1,['carlachrisellis']
304,jakatist,165,232,1054,0,[]
305,religionoffend,54,13,402,0,[]
306,Vidit02751600,27,8,910,0,[]
307,Prince11731580,31,6,270,0,[]
308,akashtaker001,1453,1113,14584,0,[]
309,ambarindia,1292,417,9557,0,[]
310,GuideforAll,2,137540,9277,14,"['ChinniSurya2', 'nripesh_kashyap', 'babuvadiyala', 'DIPAKPICHAD1', 'shubhransu10', 'Lodhiramesh8410', 'Mr360OfCricket1', 'ujjjwalgowda', 'Inn_Hasan', 'ManjuKichha5', 'venki_dhoni', 'hrg_anup_9ine_7', 'GKforKPSC']"
311,ambarindia,1292,417,9557,0,[]
312,hacker_vinay_,22,6,74,0,[]
313,M42809727,273,80,295,3,"['InderpalShivam', 'Darmashkian', 'rupspp']"
314,MadCapProf,193,385,46287,51,"['vijay005', 'Ved_Prakashji', 'masarwala', 'sarthakgarg71', 'Nkallur2', 'Phanind20455198', 'beingssap', 'HellsKi27653645', 'SiddhiMahapatra', 'JoinBabu', 'GhoshlyaLal', 'RohitBa41065187', 'gitaprian', '181Ravindra', 'Hindu03048942', 'awesomedesiiii', 'Shivank26144456']"
315,ambarindia,1292,417,9557,0,[]
316,c_chithra,11,138,23771,0,[]
317,neels_roy,0,1,260,0,[]
318,ambarindia,1292,417,9557,0,[]
319,rkdevar,529,417,15385,1,['InderpalShivam']
320,MirzaGhalib_2O,45,3,51,0,[]
321,RahulS_00,145,3,81,0,[]
322,JohnCen42378798,1,1,70,0,[]
