,username,following,followers,totaltweets,retweetcount,retweeters
762,nammateamrcb,60,8229,2646,49,"['Kohli_Addict', 'Akash86137450', 'Luckyra15551987', 'balu_AADHF', 'CultViratian', 'SoupboyOffl', 'itzmeesandy', 'VijayDurgaRao2', 'imragu18', 'AnikKhandakar2', 'eswardhfp', 'KingOfCricket__', 'Shasha529', 'DivyaK18_', '8Rozmeen', '71stwhenVK', 'ShivaM87778016', 'rahulkiran181', 'CherryAakash', 'puttu481']"
763,Khan24798929,13,0,11,0,[]
764,manishsingh946,3,0,3,0,[]
765,Pooriarts2,64,1562,2172,0,[]
766,Abhijee44652762,39,25,890,0,[]
767,MohdImranHossa6,48,4,361,2,"['Pawan71870795', 'Vipul02429220']"
768,MohdImranHossa6,48,4,361,3,"['Iqbal30326356', 'Pawan71870795', 'Vipul02429220']"
769,Ashrafu71842340,44,0,2,0,[]
770,Vaseem157,195,500,1633,11,"['daredevil1806', 'lohithyk', 'renduvadaorutea', 'Ajithkumar16921', 'Rajesh02181251', 'filmlover4life', 'aashiquetweets', 'Gautam_writes', 'wannakmshaha', 'ajay_ilango', 'TheRealUdaya']"
771,im_piyushpawar,58,53,2115,0,[]
772,MohdImranHossa6,48,4,361,3,"['Iqbal30326356', 'Pawan71870795', 'Vipul02429220']"
773,MohdImranHossa6,48,4,361,3,"['Iqbal30326356', 'Pawan71870795', 'Vipul02429220']"
774,AmitRishabh2,13,1,33,0,[]
775,MohdImranHossa6,48,4,361,2,"['Pawan71870795', 'Vipul02429220']"
776,SaiKris75286313,5002,599,16053,0,[]
777,MohdImranHossa6,48,4,361,2,"['Pawan71870795', 'Vipul02429220']"
778,n_c_a_7,752,82,11000,1,['BasitSubhani']
779,Its_Mahi_7,94,164,581,2,"['Sakshi8948', 'itz_Kishore26']"
780,MohdImranHossa6,48,4,361,2,"['Pawan71870795', 'Vipul02429220']"
781,MohdImranHossa6,48,4,361,2,"['Pawan71870795', 'Vipul02429220']"
782,Nithin_Garapati,182,38,967,1,['Mukilan81053653']
783,tariqpa22807920,329,35,216,1,['DeveloperTatva']
784,MohdImranHossa6,48,4,361,2,"['Pawan71870795', 'Vipul02429220']"
785,adilusmann,2206,2722,17763,0,[]
786,Elliepe62250669,2,5,120,17,"['CoderRetweet', 'codedailybot', 'botfordev', 'morolswediu', 'PythonExpertBot', 'education_24x7', 'BlkHwk0ps', 'blackpeopledata', '30daysofcode', 'aProgrammerBot', 'LeetcodeB', 'coder_487', 'coder_487', 'xaelbot', 'JavaGeekBot', 'BendevBot', 'Bills_Bot']"
787,NaveedAFG6,16,0,1,0,[]
788,psaraswat812,20,0,19,0,[]
789,immaira_,12,20,108,0,[]
790,Shashi05k,36,1,10,0,[]
791,shahzainy_,1693,1854,8585,0,[]
792,ItsKalpana,28,33,484,0,[]
793,amolchikane23,322,24,757,0,[]
794,_jon_snow_7,145,12,291,1,[]
795,parth98445488,247,0,66,0,[]
796,Poonch_Diaries,1358,211,716,0,[]
797,BReena28308863,339,640,19052,0,[]
798,AnnamalaiTrends,33,861,5579,3,"['VKnAKaddict', 'RamananSiva1', 'ramaragri']"
799,WeaselMomma,493,1048,21361,0,[]
800,Rajkuma08126847,170,11,122,0,[]
801,DacchanSentine1,1058,748,11770,0,[]
802,KumarPeddam,84,7,48,0,[]
803,MaqboolYousafx3,88,7,34,0,[]
804,sipu_sandipan,74,10,241,0,[]
805,VSehwagFansFort,44,13714,11236,8,"['NiteShRajwade19', 'Shammu1516', 'SunilkumarBejju', 'SESHU_44', 'Shibnarayan319', 'Mani_at_Twiter', 'vigneshwaranva', 'ThandrapaduR']"
806,MishikaAdwani,62,27,782,0,[]
807,ShimonaSharma3,312,145,4735,0,[]
808,HarshSawant444,6,0,5,0,[]
809,devar_manjunath,103,81,404,2,"['e_rajath', 'Jay_1123987']"
810,VSR076,230,22,198,0,[]
811,abhaysingh393,28,20,395,0,[]
812,Cricadium,340,797,16337,0,[]
813,Cricadium,340,797,16337,0,[]
814,rash14393,178,147,3290,0,[]
815,shovon_jai,104,14,282,0,[]
816,Sowndha18058330,78,2,19,22,"['DikshaMaurya14', 'jASunn9', 'KingOfCricket__', 'Altafkhan721', 'Yashuprabhas_4', 'JattboyclJatt', 'puru8765', '_archiesingh_', 'whoAbhishek01', 'spooky_DQ', '8Rozmeen', 'iamkpsr', 'Ramsri30288633', 'Iftequa05876022', 'Basa95259600', 'IH7KIY4fsuArF2l', 'tarunvirat14', 'Atiqkha26172352', 'Sandeep41939411', 'Aniketkingak3']"
817,Dheerajsuman9,8,0,6,0,[]
818,godsownsavage,379,141,226,1,['RajeshR50655672']
819,thegondal007,262,192,899,0,[]
820,AyushRukhaiyar,140,32,2102,1,['DeePra6']
821,SoupboyOffl,384,195,6060,14,"['Diwakar65066986', 'Pspkfansandhra', 'rubina_fan_bb14', 'EsakkiRajesh7', 'sripathi87', 'beastdaww09', '_Ajith18_', 'Vineethian', 'Hari16Vk', 'Kanishk20187023', 'Shaljin18', 'Virat_Vfc_', 'Vijay_Kohli__18', 'WhiteDevil18_']"
822,Alonetwittes,100,93,696,0,[]
823,syedimran_ind,2686,1555,40168,0,[]
824,Anuraag29914812,49,3,136,0,[]
825,iamjay65,376,517,2432,0,[]
826,tarunsk21,26,0,16,0,[]
827,ohh_bhai_,229,9,314,0,[]
828,sarfrajsutar,117,9,172,0,[]
829,Sarvesh_k_meena,4613,2423,17812,2,"['MahiThanwal', 'Sarvesh_k_meena']"
830,Niranjan8144261,0,0,3,0,[]
831,Irfan_irru_17,244,238,7883,1,['Karthik_VFC2']
832,MOHEEBURREHMAN5,351,46,655,0,[]
833,TehzeebHassan07,3343,955,5266,0,[]
834,_AbdulSajjad_,37,42,784,2,"['Narayan54782844', 'SaatvikPandey5']"
835,KameshOffl,231,150,4539,15,"['Narayan54782844', 'Sridhar_pkcult', 'sundarVJaddict', 'chanduru_njoy07', 'Sanjay56647810', 'godlevelnoob', 'patidar_boss', 'Arun14859562', 'AravindChaithu', 'KarnanithiT', 'marees1993', 'Vjvk02179605', 'MsMugiii', 'sathish18virat']"
836,GenerationoAmra,156,17,39,8,"['Narayan54782844', 'spooky_DQ', '8Rozmeen', 'mVkrishhh', 'yash_1nth24', 'harishKranthiv1', 'KHrudayKumar1']"
837,parth98445488,247,0,66,0,[]
838,Poonch_Diaries,1358,211,716,0,[]
839,manishnamdev001,117,138,1503,0,[]
840,Nitya0309,104,42,316,1,['Narayan54782844']
841,Jdesai135,239,42,3210,12,"['Narayan54782844', 'coolboy9118', 'Gadupudigopi3p', 'AmanSon94515303', '_cinnamonmiffin', 'sanojmishra123', 'iamJaga18', 'Iftequa05876022', 'Nihansh7_21', 'IH7KIY4fsuArF2l', 'Awaneesh__']"
842,its_ashu_,159,62,1851,22,"['Narayan54782844', 'RonakJa90325416', 'Saurabh40813140', 'Sndp11053', 'i_am_jeychandru', 'Sreejit73299480', 'Surya64509939', 'KumarSonuRaja', 'legendvk18', 'SparKYArUN7', 'sagar_banavath', 'wtfkittu', 'AvniKhan13', 'Siva18852354', 'AniketS42918107', 'RahulKu54778142', 'str_perk', 'KHrudayKumar1', 'AjayRonaldo20']"
843,YashGau85553607,74,9,108,14,"['Narayan54782844', 'launches_new', 'Gowtham80220264', 'shuvamkul', 'Gokulnath154', 'Kanishk20187023', 'Swarup64541334', 'Aswinka93677060', 'maniVir28067050', 'me_prasadchalla', 'BikramS62786746', 'manoj_kusa', 'MahantMadiwalar', 'KingVirat183']"
844,chamanzehra1,183,30,418,6,"['Narayan54782844', 'itskaran2k', 'virat_rajnish', 'iamJaga18', 'Iftequa05876022', 'Amjith369']"
845,sukiksp,187,16,339,0,[]
846,ram150192,173,337,451,0,[]
847,SUMITSINGH740,117,104,21858,0,[]
848,RajonDm,24,0,8,0,[]
849,avinaash_ft,314,157,441,1,['Hiral_6_12']
850,shirish75120513,5,37,1198,3,"['SeeTheAirBot', 'Ajay609618511']"
851,R_K_ROCKSTAR,2883,364,252,0,[]
852,JEELPATEL177,927,86,475,0,[]
853,Virat17231,121,42,1916,0,[]
854,DacchanSentine1,1059,750,11780,0,[]
855,Poonch_Diaries,1358,211,716,0,[]
856,Aneeljan3,66,3,11,0,[]
857,imsanjuDJAA,3672,2863,23013,3,"['VMinigunthala', 'MR360AA', 'AlluSagarAA']"
858,GokulGreats,189,20,279,0,[]
859,bhanu9896,120,169,2321,0,[]
860,iamRoniowais,998,3873,40285,0,[]
861,satyaran_,2115,1300,61915,1,['Rinkyy05']
862,YashCultTejas,321,348,9072,4,"['AtadiyaBhim', 'ssrians4ssr', 'the18jersey', 'kohli_naren']"
863,iamprithviraj05,44,27,432,0,[]
864,_pinki_official,509,360,331,1,['AdarshKamble143']
865,ErPrabhat199,211,93,1852,0,[]
866,Dhrubojyoti_CS,69,84,9270,0,[]
867,Arjunsh07613580,70,3,156,0,[]
868,_KhAnDaNyalKhAn,1,0,4,0,[]
869,Itsme39395722,63,77,2545,0,[]
870,KichchaChetan,1229,765,30623,0,[]
871,77motorcycles,286,6,14,0,['Jumproper3']
872,TrueScoopNews,391,207,8679,1,['_Naresh97']
873,ayush_more_45,18,0,9,0,[]
874,oggy_thebluecat,456,153,9358,0,[]
875,CricketerBhuvi,490,1507,28868,8,"['Ichanpyaari', 'Isdilkakyakru', 'priyapalni', 'aukat_se_bahar', 'AmanSin18960571', 'vulnerablebandi', 'Rinkyy05', 'JatinTweets_']"
876,ViPiNcH94328248,28,71,518,0,[]
877,dedeena,524,1157,3846,0,[]
878,mohit_munjal,1420,859,1293,0,[]
879,Impactoutside,67,1,100,0,[]
880,ShDivyanshi,792,917,1762,0,[]
881,mousamshrivasta,29,8,24,0,[]
882,AmznZone,1569,103,1691,0,[]
883,Dhrubojyoti_CS,69,84,9270,0,[]
884,ku83807286,26,1,6,0,[]
885,BosTeam_Hiriyur,59,469,6713,4,"['PAralagundagi', 'chithri_yadav', 'Amjith369']"
886,mohit_munjal,1420,859,1293,0,[]
887,nihal_0317,2,0,1,0,[]
888,ywcvc1999,71,5,160,0,[]
889,FansclubDisha,219,245,4256,0,[]
890,KatleVijayreddy,3,0,1,0,[]
891,Poonch_Diaries,1358,211,716,0,[]
892,your__hubby_,344,343,2669,1,['NimiKhan07']
893,lucid_xyz,21,1,149,0,[]
894,TheDevPrakash1,49,186,734,0,[]
895,anshuu23,80,205,678,2,"['fazal_157', 'IftikharBadini']"
896,Nihar__B,127,12,883,0,[]
897,i_am_DHFM_2,169,335,6286,251,"['SivasaiRajapu', 'urstrulyBalu_18', 'Pardhubabu4005', 'faizan_u1098', 'worldsaver21', 'Cricket_10_18', 'kohli_naren', 'vk_nishant', 'ChanduRawanjsp', 'UsmaniVkohli18', 'rcARUNvk', 'Urstrulypradee4', 'harsha__007', 'Akhtar2203', 'VIRATIAN18_DHFM', 'SaiNaidu_', 'satyaganesh02']"
898,gamer_cricket,11,0,75,0,[]
899,NawazAhmedKhan9,259,14,83,0,[]
900,imMafas18,569,119,82,1,['gopigou45769407']
901,ImYash_5381,120,192,7825,0,[]
902,Apoorva66606836,17,1,18,0,[]
903,DuDeitSmEiMrAn,80,18,48,0,[]
904,VijaySi11445943,56,13,18,0,[]
