,username,following,followers,totaltweets,retweetcount,retweeters
390,DevghareSahil,4,0,4,5,"['Vandana05715030', 'Harpree72889970', 'ravipatel72224', 'MEENU82433774', 'Sushantify']"
391,GurudattaShinde,145,68,26606,1,['GurudattaShinde']
392,Singhroyal2748,3,0,125,0,[]
393,itsNitikaSingh,314,4654,14860,3,"['Priyank74685077', 'ShriShashi22', 'boycott_halaal']"
394,equtyEnthusiast,79,627,4518,0,[]
395,bainsindian,2455,2144,42385,5,"['HindRshtrBharat', 'nsbchd', 'patliputraite', 'dhthakur745', 'RamPhookan']"
396,BananiD86287494,1,164,2319,2,"['Manisha63470447', 'Umrkhalil227661']"
397,Sushant15880907,891,144,22655,1,['Sushant15880907']
398,himansu91221pal,452,338,45634,5,"['BVNarayana7', 'Priya80167535', 'immortalsush_', 'SanjitForAll', 'privin07']"
399,anilaropalli,154,93,11459,5,"['BarthwalAcharya', 'VishwambharWad', 'ManishPangotra5', 'NipunNanda', 'Umrkhalil227661']"
400,PreetiK2021,1948,3767,193867,5,"['BVNarayana7', 'Priya80167535', 'Ishita37078768', 'immortalsush_', 'RAVIPAN59267102']"
401,raman_lalita,386,278,39165,4,"['VishwambharWad', 'BVNarayana7', 'Priya80167535', 'privin07']"
402,PratikJ93698881,124,73,2889,1,['KSiddhun']
403,kkeshaw68,163,11,1380,3,"['VishwambharWad', 'NipunNanda', 'Nikita_ox']"
404,kvi10981098,556,451,18316,2,"['VishwambharWad', 'NipunNanda']"
405,PSoscovid,14,117,11756,2,"['VishwambharWad', 'NipunNanda']"
406,dhurvii,32,73,5135,0,[]
407,chandu9983,154,76,1961,0,[]
408,TriglavApo,338,208,3465,1,['piedpiperlko']
409,Mahadev_Gulshan,2107,2338,176744,4,"['VishwambharWad', 'FabulousRaviRaj', 'BVNarayana7', 'SRajput84903464']"
410,ashwinikucchu,104,80,1444,2,"['VishwambharWad', 'NipunNanda']"
411,KHAN_TASTIK,284,237,16691,0,[]
412,Leema2706,55,38,2188,5,"['VishwambharWad', 'Ishu_1611', 'Manisha63470447', 'sjhf777', 'Sushantify']"
413,Hiroshi11610305,280,344,21263,5,"['VishwambharWad', 'NipunNanda', 'privin07', 'JnnurmSaket', 'Hiroshi64788628']"
414,gauravlkr,122,12,1045,2,"['VishwambharWad', 'NipunNanda']"
415,SsrHerefor,840,1196,22203,3,"['gaurav200203', 'ItsRaushanRaj', 'VishwambharWad']"
416,DemonGod21,635,469,7417,4,"['VishwambharWad', 'NipunNanda', 'privin07', 'Hiroshi64788628']"
417,SsrHerefor,840,1196,22203,0,[]
418,dhurvii,32,73,5135,0,[]
419,Aditya_Yadav_5,406,558,3981,2,"['PushpaR89357893', 'VishwambharWad']"
420,Creepy_Trippie,299,11,69,0,[]
421,itsG4SSR,618,611,57130,2,"['RRS_InnerVoice', 'VishwambharWad']"
