,username,following,followers,totaltweets,retweetcount,retweeters
420,XLGBTQCOIN,8,2024,70,141,"['vlicoach14', 'Luke71917957', 'OHKA350', 'AlavaJhonan', 'xckiel', 'Dmitry_Kovach', 'Thepalepastel', 'aria_wintle', 'vtuskan', 'mario82256825', 'JennilynFlore18', 'JennycaTelan', 'falan_luthers', 'swimfun_207', 'Kelcia68709879', 'midnytstormcoin', 'CarbajosaWarren', '950mJ3QSuxVxErs', 'AMMCrypto', 'XRpCyrine']"
421,PointFoundation,4090,7165,8366,1,['chromomojo']
422,FredPageSF,16132,13996,15885,0,[]
423,MagnoliaMHealth,252,851,1019,3,"['the3jsmom', 'spokenblackgirl', 'C_MRSJBOSSLADY']"
424,1Hefner_,1424,1461,74457,8,"['miracleboy_1997', 'ashia_pace', 'justthat_dude', 'nadislight', 'therealtizzytt', 'cravebambi', 'ohioborn17', 'syi_boughetto']"
425,TrevorProject,6193,337958,32357,33,"['UGH_isabelle', 'Megan_Cadwell_', 'MegsDreamDesign', 'MHcrisisSupport', 'Leilani1382', 'fictional_livin', 'TinaMarie_80s', 'BoofDemon', 'guidethetigers', 'SpectreOfEarth', 'rthomasknapp8', 'PinkSheepNews', 'kiririkyu', 'EmilyRose4231', 'disneyvwdmom', 'camphalfblood', 'RaquelLuvsRoman', 'DrJolyn', 'JamieVamp']"
426,IdeasIntegrated,11054,11589,8537,11,"['kennymo94578697', 'kennymo94578697', 'ZainZigga', 'PFSAQ1', 'DimplesHadebe', 'Aya_mm', 'shaunteledi', 'Pholobzin', 'LcNkadimeng', 'Siyashesha_', 'IdeasIntegrated']"
427,PointFoundation,4090,7165,8366,1,['chromomojo']
428,TamikaDenise,853,737,28903,1,['ProZoneGD']
429,LOrion,3418,4403,357881,1,['LOrion']
430,LOrion,3418,4403,357881,1,['LOrion']
431,Foxy_Andariel,656,385,4644,7,"['Streamer_Boost', 'GrowURStream', 'StreamerWall', 'wwwanpaus', 'TwitchTVGaming', 'safiroanejo', 'rtItBot']"
432,Foxy_Andariel,656,385,4644,7,"['Streamer_Boost', 'GrowURStream', 'StreamerWall', 'wwwanpaus', 'TwitchTVGaming', 'safiroanejo', 'rtItBot']"
433,RWezenaar,1936,744,9675,0,[]
434,SelfPubShow2,6174,7198,40142,0,[]
435,tranquilron,3940,2279,2940,12,"['ThomasECoffman', 'FitzMoneda', 'alhanda', 'tranquilron', 'Sir_Andre_Jones', 'cameyrick1', 'artyny59', 'HoltenHm', 'vicky_whedbee', 'MarySSchaeffer', 'IreneWoodbury', 'sequence_ready']"
436,Tonywise617,28,11,105,0,[]
437,lasagna_goat,671,22,1356,0,[]
438,XLGBTQCOIN,8,2024,70,141,"['vlicoach14', 'Luke71917957', 'OHKA350', 'AlavaJhonan', 'xckiel', 'Dmitry_Kovach', 'Thepalepastel', 'aria_wintle', 'vtuskan', 'mario82256825', 'JennilynFlore18', 'JennycaTelan', 'falan_luthers', 'swimfun_207', 'Kelcia68709879', 'midnytstormcoin', 'CarbajosaWarren', '950mJ3QSuxVxErs', 'AMMCrypto', 'XRpCyrine']"
439,MissAmerica1201,4685,3907,5847,2,"['bioko', 'MHolidayBooks']"
440,GiGiCaponePR,7804,7401,267229,1,['msgigicapone']
441,Foxy_Andariel,656,385,4644,7,"['Streamer_Boost', 'GrowURStream', 'StreamerWall', 'wwwanpaus', 'TwitchTVGaming', 'safiroanejo', 'rtItBot']"
442,GiGiCaponePR,7804,7401,267229,1,['msgigicapone']
443,CTYJohnsHopkins,2333,6554,6443,0,[]
444,GayDating101,3526,3503,7534,0,[]
445,thejoshuablog,2802,6418,574868,1,['thejoshuablogs']
446,thejoshuablog,2802,6418,574868,1,['thejoshuablogs']
447,TamikaDenise,853,737,28903,1,['ProZoneGD']
448,patty81202626,21,51,491,1,['form_bot']
449,TrevorProject,6193,337958,32357,33,"['UGH_isabelle', 'Megan_Cadwell_', 'MegsDreamDesign', 'MHcrisisSupport', 'Leilani1382', 'fictional_livin', 'TinaMarie_80s', 'BoofDemon', 'guidethetigers', 'SpectreOfEarth', 'rthomasknapp8', 'PinkSheepNews', 'kiririkyu', 'EmilyRose4231', 'disneyvwdmom', 'camphalfblood', 'RaquelLuvsRoman', 'DrJolyn', 'JamieVamp']"
450,giveitedicavani,258,66,881,0,[]
451,AnnDystopianFan,48,12,27502,0,[]
452,Geestar86,6316,5926,15993,0,[]
453,lgbtqnation,1701,192616,69897,5,"['Dgsma', 'WiseOwl_ACK', 'JasonGriesse', 'LeighLike1234', 'littlehawk463']"
454,_damianhxang,9,9,728,1,['hplbot']
455,_damianhxang,9,9,728,1,['hplbot']
456,lgbtqnation,1701,192616,69897,4,"['Joeanthony_nyc', 'lvinson58', 'FredKwint', 'shyredmd']"
457,ETalkUK,1521,595,26428,2,"['JFSebastian146', 'idek3339']"
458,QUBSONM,547,3378,2184,3,"['youngting16', 'SaraGilpin', 'maggiebennett2']"
459,eqca,2079,34750,26941,1,['KarenOcamb']
460,Jeaux_P,203,15,14,0,[]
461,axstorm24,187,357,144,2,"['DonReamey', 'BotFemale']"
462,PatriceLavoie,1471,4321,13703,0,[]
463,lgbtqnation,1701,192616,69897,1,['UruguayLgbt']
464,robist,603,476,32903,0,[]
465,reallykarel,2501,3020,38664,1,['researchmrx']
466,axstorm24,187,357,144,2,"['DonReamey', 'BotFemale']"
467,stores_rainbow,172,62,102,0,[]
468,TrevorProject,6193,337958,32357,33,"['UGH_isabelle', 'Megan_Cadwell_', 'MegsDreamDesign', 'MHcrisisSupport', 'Leilani1382', 'fictional_livin', 'TinaMarie_80s', 'BoofDemon', 'guidethetigers', 'SpectreOfEarth', 'rthomasknapp8', 'PinkSheepNews', 'kiririkyu', 'EmilyRose4231', 'disneyvwdmom', 'camphalfblood', 'RaquelLuvsRoman', 'DrJolyn', 'JamieVamp']"
