,username,following,followers,totaltweets,retweetcount,retweeters
51,AntiRacismDay,16128,44441,37018,15,"['JusticeOneDay2', 'junei96', 'AlTsakani', 'eternallyamour', 'RobinaQureshi5', 'Churchi15246971', 'Millygilbert17', 'ANKHEmpress', 'followMFJ', 'rk70534', 'MissPaulaGreen', 'EuEthnic', 'JFSebastian146', 'bassmadman', 'xraypat']"
52,AntiRacismDay,16128,44441,37018,26,"['JusticeOneDay2', 'paddyoverall', 'twitsquince', 'JFSebastian146', 'BLangotra', 'Hatepag66999632', 'Michael76213061', 'OsareMaggie', 'soletiole2912', 'bassmadman', 'tinyredharvey', 'rk70534', 'cathycross', 'nanow60', 'EMCLimited', 'PLoyalties', 'MissPaulaGreen', 'JFSebastian146']"
53,BLMProtestBot,0,163,5297,0,[]
54,LuluWalcott1,380,2203,116198,3,"['Sugabab59115132', 'JFSebastian146', 'DavidUdale']"
55,Satellit3Heart,1250,1813,11703,259,"['Jaassyyy_', 'Big__Kush', 'OursonMenteur', 'raythehaitian', '_leannaxo', '2dmbad4u', '816heauxshit', 'ZEB8462', 'tresekennedy_', 'ChiLottery', 'AbblkRoots', 'majornija', 'OurStorynLegacy', 'TheHomie_IKE', 'StephniMishawn', 'sayitaintteej', 'Pantha2661', 'TeliaLadon', 'Lax_islife16']"
56,reno_ralph,2,2,7018,0,[]
57,proudly_Ethio,188,68,690,4,"['PpcRodash', 'JFSebastian146', 'lijethiopia213', 'DavidUdale']"
58,LiesDestroy,208,604,15793,2,"['MomDantes', 'DavidUdale']"
59,BotDefund,11,35,20392,2,"['JFSebastian146', 'DavidUdale']"
60,JeffMerkley,9652,110728,4335,665,"['SupermanHopkins', 'iceManEssa', 'HuskerKO', 'David_Feldman_', 'AlberoniLH', 'fairviewsue', 'lguapo76', 'JFSebastian146', 'bevmuh', 'deepgreenphilly', 'Pacheco_JA_', 'Amadii', 'EmmaGroff', 'HalleQuezada', 'FL4Bernie2020', 'NonyaBidness11', 'ofa_Jeremy', '2sensitive_', 'KishaGardner', 'nrookie']"
61,danwibg,2026,3804,367403,0,[]
62,danwibg,2026,3804,367403,0,[]
63,BaniyeC,232,25,950,0,[]
64,ElAmerican_,150,42870,32456,12,"['SabrinaMartinR', 'mademjac', 'KatsuhikoTsuda', 'dd756yut', 'reme1364', 'Angelsdad15', 'javipatino1', 'UhuruK_Sasa', 'HowardPartiss', 'soundscrazy2', 'Heritage']"
65,BanterfBundy,577,251,1204,3,"['BanterfBundy', 'JFSebastian146', 'SilencioBroono']"
66,oneactoflove,313,53,568,0,[]
67,OuryJalloh,611,9113,12205,10,"['BlackCommunit20', 'krissis15', 'marie_c_g', 'ulrichkoestner', 'JFSebastian146', 'einpanblob', 'FabianHuebner', 'missblu75883606', 'DerMrBer']"
68,JuliaBishopMe,159,18,413,0,[]
69,yuresearcherbot,0,111,73879,0,[]
70,ChartHits64,674,911,7164,0,[]
71,SUFAUK,1005,387,3851,0,[]
72,ABoyAbout,125,33,2372,0,[]
73,SUFAUK,1005,387,3851,0,[]
74,ChartHits64,674,911,7164,1,['JFSebastian146']
75,Multijo1,6995,6361,630632,0,[]
76,Anteneh001A,1686,796,1354,1,['JFSebastian146']
77,MrAtheistPants,824,53508,30273,3,"['RandyLaMonda', 'JFSebastian146', 'idek3339']"
78,NCAD_Dublin,1487,13510,6016,3,"['JFSebastian146', 'idek3339', 'danshanman']"
79,OrlandezJohnson,1,2,10,0,[]
80,ChartHits64,674,911,7164,2,"['JFSebastian146', 'idek3339']"
81,reno_ralph,2,2,7018,0,[]
82,WaBLMAlliance,660,242,187,0,[]
83,OYFtheBook,4927,2357,12940,1,['idek3339']
84,OldMainBell,1594,1173,98970,1,['idek3339']
85,rupertbu,10513,9676,255525,2,"['idek3339', 'JFSebastian146']"
86,Prison_Health,2469,17592,346592,0,[]
87,TheSocReview,5671,61403,55852,0,[]
88,RickSydney,3822,3809,38471,1,['RickSydney']
89,GangemiMerry,239,71,2327,2,"['lisafinkc', 'Nattyknotts']"
90,Multijo1,6995,6361,630632,0,[]
91,DogecoinShrink,945,144,2716,0,[]
92,melmeldc,5000,1488,100760,0,[]
93,CreativeTDesig1,13,0,6,0,[]
94,Blackbirds,370,267878,3031,994,"['GulGulcu', 'raygunhopper', 'lijialing777', 'VENUS28910811', 'haekalraka_', 'BidhubhusanAch1', '_tawyitr_', 'SKB02018893', 'felipy5456', 'BRlANRAY', 'FerndTwitat', 'ylimEwastaken', 'ReiteshKoul', 'Qhweku_Sterling', 'DexFTW_', 'yoksig', 'SafetyMentalst', 'useonyou']"
95,bdidol,398,1646,15248,1,['JFSebastian146']
96,ToddBohannon,4306,3289,133083,2,"['JFSebastian146', 'ToddBohannon']"
97,ChartHits64,674,911,7164,0,[]
98,DrDianeKern,232,82,200,0,[]
99,ResinRebel,229,123,587,0,[]
100,GascoyneEstate,835,515,1491,4,"['Gascoyne1CC', 'JFSebastian146', 'hackneytours', 'wickaward']"
101,fayepelzer,3879,2861,28356,0,[]
102,BlackAndRight,292,1817,26079,2,"['CrayOfTheCRAY1', 'Vanessence7']"
103,inartfairNYK,223,75,69666,0,[]
104,AntiRacismDay,16128,44441,37018,10,"['junei96', 'aminamangera1', 'BigSterrett', 'rk70534', 'Debbiesplace65', 'Damian0706', 'mariaminpeace', 'FNKLibrary', 'sashasimic', 'imelda_mairead']"
105,BLMLA,454,139784,18227,12,"['WP4BL', '2ndchanceff', 'warmlux', 'Awkward_Orange', 'votes4kanye', 'RewyreU', 'JFSebastian146', 'ChavezRavineLA', 'ChismVargas', 'iowacard', 'Indira4DSM', 'PplsCityCouncil']"
106,ChartHits64,674,911,7164,1,['JFSebastian146']
107,_webshareztv,2372,1564,22669,2,"['JFSebastian146', 'SBBExpo']"
108,_webshareztv,2371,1562,22669,2,"['JFSebastian146', 'SBBExpo']"
109,BryanPacheco,516,1258,4250,29,"['FirestarHart', 'RecklessJeff', '1ADoubleBDS', 'jayantonio98', 'JFSebastian146', 'danasflxapl', 'v0dkatini', 'cyberpilate', 'NachoKingZ', 'CHAMPSROLLEIGNS', 'doge_king', 'buckeyedinapoli', 'joseimorales11', 'gIowmode', 'TorchCrawler', 'itsbosstiiime', 'bbgunnnz', 'jahlovesmusic', 'Lovatic5HDores7']"
110,changethenypd,3283,20382,27394,12,"['garverosorio', 'TheWayWithAnoa', 'OrganizedR', 'hilarythelyons', 'cclark112263', 'bdlimm', 'gideonoliver', 'j_weathers', 'JFSebastian146', 'JFREJNYC', 'jennarosen']"
111,meiklwagner,4966,880,34004,13,"['meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'meiklwagner', 'endsarsbot_', 'JFSebastian146', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'psarmmiey', 'endsarsbot_']"
112,jasidok,281,39,923,0,[]
113,tbasharks,0,5052,17612,0,[]
114,ProductPricing,2050,937,1246,0,[]
115,TEDxBoston,434,4785,1511,3,"['IrmaRaste', 'dcure', 'EvanKirstel']"
116,Biniam96478473,29,6,414,0,[]
117,Lis5718,1651,1224,44386,3,"['Louisam77', 'PelleJons1', 'BrittLCee']"
118,Mahleta1,211,44,2333,0,[]
119,SmokeSignalBR,694,911,1703,3,"['MariannaOlinger', 'BrazilDemocracy', 'carlagastal']"
120,BrunoAmato_1,125490,239635,38407,3860,"['Ilene3youtz', 'melajessi_1', 'JFSebastian146', 'Libra648', 'FloLake', 'loyalbrooks', 'murQury7', 'TXFartingsworth', 'powderpuff1999', 'CherylL00330540', 'Popeye1961666', 'Tigergal62', 'slavanj', 'JFSebastian146', 'Manuela_MD', 'HyangmiO', 'CSkagitdave', 'danaMpatton', 'DemocraticDaisy', 'IanM0ses']"
121,ChartHits64,674,911,7164,0,[]
122,reno_ralph,2,2,7018,2,"['JFSebastian146', 'DavidUdale']"
123,furmanspeccoll,365,550,1524,2,"['JFSebastian146', 'DavidUdale']"
124,OuryJalloh,611,9113,12205,103,"['St55172019', 'GustavRegler', 'JFSebastian146', 'h_odiug', 'Audiolith', 'IrgendwasKreat1', 'CarenTatjana', 'MoZzeloth', 'SpareTheBaton', 'claudiesdas', 'JFSebastian146', 'SugaD_official', 'jannisgrimm', 'likerobinhood1', 'BremenNika', 'max95349590', 'PeljorTenzin', 'Chariklia_2018', 'freundeskreisv', 'trollnest3']"
125,melmeldc,5000,1488,100760,1,['JFSebastian146']
126,shada_islam,2641,6704,38669,2,"['medtech147', 'AlfiazV']"
127,jenniferdlaws,762,251,9314,431,"['LVanSomeren', 'Robert02260562', 'RBZai_25', 'Arzell38548852', 'stockguy61', 'MixedDem', 'demuromarquez', 'CoachBobTewsley', 'ManutdMMM', 'StefanLong', 'talktoig', 'JonesLorri', 'AndreasHagen507', 'Beverly21811568', 'ilsaingrid', 'raerae32206528', 'McBrettster', 'murraydarren55', 'anitra_larae']"
128,Bibi19100k,7,0,6,3,"['JFSebastian146', 'DavidUdale', 'lijethiopia213']"
129,schock,9716,21420,76590,2,"['psb_dc', 'KafSofit']"
130,AEGISAllianceTM,3972,7284,24733,1,['GrassrootsDNC']
131,SmokeSignalBR,694,911,1703,0,[]
132,RICHARDLNEWBY,2576,8458,54270,10,"['thelivingtribu2', 'markhughesfilms', 'RealDavidFuller', 'CotySJ1', 'PurpleFilms88', 'sectionxp12', 'ArcEntel', 'JFSebastian146', 'leebee4life', 'DavidUdale']"
133,meiklwagner,4966,880,34004,10,"['endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'endsarsbot_']"
134,say_the_names,329,190,19959,0,[]
135,AntiRacismDay,16128,44441,37018,23,"['hackneysutr', 'HackneySwp', 'JFSebastian146', 'ClarkPhilippa', 'kenolende', 'gertrudengozi', 'ChristopherdgG', 'Ashanti_Alston', 'rk70534', 'Lynne04289004', 'JossWaddyProEU', 'LouiseRawAuthor', 'pureshoressaint', 'MissPaulaGreen', 'NagasakiKenndo', 'chriselaine3', 'winwithmelanin', 'davidagoodland', 'sashasimic', 'JFSebastian146']"
136,NavJB,714,2339,2782,142,"['sirajunmoni', 'Hashim09664684', 'MukeshettanC', 'mailienluong1', 'Remon41018250', 'rahat13355747', 'Mai00623784', 'nhapham18585040', 'WRMinc', 'MdUh02751567', 'EsetHduueb', 'JFSebastian146', 'shamee57569646', 'juan23758622', 'D99Squadron', 'rico2288953766', 'Hasanul73596204', 'yvethtoralba', 'FadiSam74974256']"
137,Alima1000,275,186,19033,2,"['Alima1000', 'JFSebastian146']"
138,dpoen,0,36,2179,0,[]
139,meiklwagner,4966,880,34004,15,"['meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'endsarsbot_', 'meiklwagner', 'meiklwagner', 'endsarsbot_', 'endsarsbot_', 'meiklwagner', 'endsarsbot_']"
140,dpoen,0,36,2179,1,['JFSebastian146']
141,LEGOSpaceBotBot,13,98,3818,0,[]
142,NkengeFemme,79,65,205,1,['JFSebastian146']
