,username,date,content,likes,hashtags,rekoo_users
47,@Environmentalist_and_Green_Activist_of_India,30-05-2021,"#TreeTheNatureSolution🌱🌳

One TREE🌴🌳🌵🌱🦚 several stories..
But before planting tree there‘s no story...
The story behind trees...the tree gives us everything for our Life especially..
#SHADE🌳
#RAIN🌳
#AIR 🌳
Trees🌳🌱 are the vital Role in Ecosystem. As the biggest plants on the planet, they give us Oxygen, store Carbon.
#climatecrises
#Pollution
#climatechanges

#geethikavenkatesn",2,"['#TreeTheNatureSolution🌱🌳', '#SHADE🌳', '#RAIN🌳', '#AIR', '#climatecrises', '#Pollution', '#climatechanges', '#geethikavenkatesn']",
48,@newsupdates,29-05-2021,"#SriLanka‘s top environment body warns and asks people to be vigilant in case of inclement weather. 

There could be slight #acidrains due to the emission of #nitrogendioxide from the #Singapore-flagged cargo ship which caught fire near the #Colombo beach last week.

#greenearth #pollution",,"['#SriLanka‘s', '#acidrains', '#nitrogendioxide', '#Singapore-flagged', '#Colombo', '#greenearth', '#pollution']",
49,@newsupdates,29-05-2021,"#China’s carbon neutrality goals are under stress on account of soaring #carbonemissions. Greenpeace report says, #electricity consumption from China’s data centres, #5G base stations could almost #quadruple from 2020 to 2035, which will increase the #carbon emissions.

#pollution #greenearth",,"['#China’s', '#carbonemissions.', '#electricity', '#5G', '#quadruple', '#carbon', '#pollution', '#greenearth']",['@mehul_shah84B3A']
50,@timesofne,29-05-2021,"Less pollution makes Pathsala town green
#Bajali #Pathsala #environment #pollution #covid19",1,"['#Bajali', '#Pathsala', '#environment', '#pollution', '#covid19']",
51,@newsupdates,29-05-2021,"The #BombayHighCourt has directed the #Maharashtra government to come up with a uniform policy for crematoriums to reduce #pollution from #furnaces, especially for the densely populated cities like #Mumbai, #Pune, #Nagpur and #Aurangabad.

#nature #greenearth #GoGreen",2,"['#BombayHighCourt', '#Maharashtra', '#pollution', '#furnaces,', '#Mumbai,', '#Pune,', '#Nagpur', '#Aurangabad.', '#nature', '#greenearth', '#GoGreen']",
52,@mews.in,28-05-2021,"The authorities say reporting of events is a bit slow during the lockdown and some people are taking advantage of lockdown by constructing these illegal structures. Thousands of FIRs have also been registered against people for these encroachments. Many vehicles carrying construction material were also seized.
#dallake #pollution #lawa",,"['#dallake', '#pollution', '#lawa']",
53,@aqualinebhungru,24-05-2021,CREATION OF PATH AND DOBHAS IN KOLAGHATA WEST BENGAL AREA TO CATCH THE RAIN WHERE IT FALLS THIS IS THE PREPARATION FOR YAS CYCLONE WHICH IS GOING TO HIT WEST BENGAL IN A DAY OR TWO #एक्वालाइनभूंगरु #पानीकीखेती #aqualinebhungru #climatechange #water #conservation #environment #sustainability #cleanwater #globalwarming #pollution Rotary International Ministry of Jal Shakti,,"['#एक्वालाइनभूंगरु', '#पानीकीखेती', '#aqualinebhungru', '#climatechange', '#water', '#conservation', '#environment', '#sustainability', '#cleanwater', '#globalwarming', '#pollution']",
54,@Environmentalist_and_Green_Activist_of_India,20-05-2021,"The young generation need Food, Air, and Water, don‘t destroying the Nature ecological system.Give the life to young and next generation lives Please
#GeethikaVenkatesan
Environmentalist and Green Activist of India
#climatechanges
#Pollution
#climatecrises
#youngwarrior  
#voiceforhumanity",,"['#GeethikaVenkatesan', '#climatechanges', '#Pollution', '#climatecrises', '#youngwarrior', '#voiceforhumanity']",
55,@pratyushranjan,18-05-2021,"#Pollution in cities & within home/office premises is the reason behind high #COVID19 cases in #Mumbai #Delhi #Bengaluru

Dr. Arun Sharma of #ICMR tells me in an EXCLUSIVE Interview

Hindi: 
https://t.co/37u9iya3ee
English: 
https://t.co/JnCV4O7Aoo",2,"['#Pollution', '#COVID19', '#Mumbai', '#Delhi', '#Bengaluru', '#ICMR']",
56,@newsupdates,18-05-2021,"#Karnataka: Dead fish seen floating in #Mottanallurulake in #Anekal of #Bengaluru, due to inflow of effluents and pesticides from surrounding industries and agricultural fields. 

#saveearth #pollution #savenature #greenearth #saveanimals #earth #nature #fish",,"['#Karnataka:', '#Mottanallurulake', '#Anekal', '#Bengaluru,', '#saveearth', '#pollution', '#savenature', '#greenearth', '#saveanimals', '#earth', '#nature', '#fish']",
57,@SikdarSampriti,12-05-2021,#update nearly 100 bodies found floating in Ganga in Uttar Pradesh and Bihar. #GangaRiver #Pollution #DeadBodies #SikdarSampriti #journalistsampriti,4,"['#update', '#GangaRiver', '#Pollution', '#DeadBodies', '#SikdarSampriti', '#journalistsampriti']",
58,@advindhealthcare,09-05-2021,"Advind Healthcare wishes all the beautiful mothers a very Happy Mother’s Day.

#advindhealthcare #mothersday #happymothersday #mother #india #health #healthcare #healthiswealth #worldhealthorganization #followus #wellprotected #masks #facemask #maskon #india #airpurifier #madeinindia #healthlifestyle  #pollution #airpollution #pollutionmask #healthy",1,"['#advindhealthcare', '#mothersday', '#happymothersday', '#mother', '#india', '#health', '#healthcare', '#healthiswealth', '#worldhealthorganization', '#followus', '#wellprotected', '#masks', '#facemask', '#maskon', '#india', '#airpurifier', '#madeinindia', '#healthlifestyle', '#pollution', '#airpollution', '#pollutionmask', '#healthy']",
59,@eesanjenews,07-05-2021,"ಕೊರೋನಾ ಎಫೆಕ್ಟ್ : ಪರಿಸರದಲ್ಲಿ ಶೇ.7 ರಷ್ಟು ಕಡಿಮೆಯಾಯ್ತು ಮಾಲಿನ್ಯ..!
https://www.eesanje.com/7-pollution/
#Pollution #AirPollution #Coronavirus  #Covid19 #lockdown",2,"['#Pollution', '#AirPollution', '#Coronavirus', '#Covid19', '#lockdown']",
