,username,date,content,likes,hashtags,rekoo_users
1,@SwarajyaMag,24-09-2021,"Commission Of Air Quality Management Reviews Measures Taken To Control Air Pollution In Delhi And NCR Region

#Delhi #NCR #Pollution",,"['#Delhi', '#NCR', '#Pollution']",
2,@newsupdates,23-09-2021,"The Goa state pollution control board has invited applications from graduates, class 12 pass, ITI certificate holders to recruit to various posts like junior environmental engineer, junior stenographer, and network assistant. 

The application format is available on the official website goa.gov.in. 

#goa #pollution #job #employment",1,"['#goa', '#pollution', '#job', '#employment']",
3,@mydigitalnews.in,20-09-2021,"Pollution control philosophy with relation to Water Pollution 
https://mydigitalnews.in/pollution-control-philosophy-with-relation-to-water-pollution
 #Philosophy #control  #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#Philosophy', '#control', '#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
4,@mydigitalnews.in,20-09-2021,"Nutrient pollution - Water Polution 
https://mydigitalnews.in/nutrient-pollution-water-polution
 #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
5,@mydigitalnews.in,20-09-2021,"Marine pollution - Water Polution 
https://mydigitalnews.in/marine-pollution-water-polution
   #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
6,@mydigitalnews.in,20-09-2021,"Pollution of rivers, lakes and oceans - Types of Water Polution 
https://mydigitalnews.in/pollution-of-rivers-lakes-and-oceans-types-of-water-polution
   #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
7,@mydigitalnews.in,20-09-2021,"Environmental persistent pharmaceutical pollutants - Water Polution 
https://mydigitalnews.in/environmental-persistent-pharmaceutical-pollutants
  #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
8,@mydigitalnews.in,20-09-2021,"Compounds on the Stockholm Convention list - Persistent organic pollutant - Water Polution 
https://mydigitalnews.in/compounds-on-the-stockholm-convention-list-persistent-organic-pollutant-water-polution
  #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
9,@mydigitalnews.in,20-09-2021,"Persistent organic pollutant - Water Polution 
https://mydigitalnews.in/persistent-organic-pollutant-water-polution
 #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
10,@mydigitalnews.in,20-09-2021,"Water polution and Non-biodegradable organic compounds 
https://mydigitalnews.in/water-polution-and-non-biodegradable-organic-compounds
 #organic #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#organic', '#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
11,@mydigitalnews.in,20-09-2021,"Water polution - Pathogens from sewage and agriculture 
https://mydigitalnews.in/water-polution-pathogens-from-sewage-and-agriculture
 #agriculture  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#agriculture', '#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
12,@mydigitalnews.in,20-09-2021,"Carbon cycle and Ocean Acidification 
https://mydigitalnews.in/carbon-cycle-and-ocean-acidification
  #carbon  #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#carbon', '#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
13,@mydigitalnews.in,20-09-2021,"Ocean acidification and Water Polution imapact on Environment 
https://mydigitalnews.in/ocean-acidification-and-water-polution-imapact-on-environment
 #Ocean  #WaterPollution #pollution #water #environment #definition",,"['#Ocean', '#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
14,@mydigitalnews.in,20-09-2021,"A practical definition of water pollution is 
https://mydigitalnews.in/a-practical-definition-of-water-pollution-is
 #WaterPollution #pollution #water #environment #definition",,"['#WaterPollution', '#pollution', '#water', '#environment', '#definition']",
15,@mydigitalnews.in,20-09-2021,"what is the course of water pollution - A short Note and summary trend 
https://mydigitalnews.in/what-is-the-course-of-water-pollution-a-short-note-and-summary-trend
 #WaterPollution #pollution #water #environment",,"['#WaterPollution', '#pollution', '#water', '#environment']",
16,@thinkwithniche,17-09-2021,"Today, India’s population stands at 1.3 billion which acts as a hindrance in its way to achieving a sustainable growth pattern and judicious use of nonrenewable resources.⤵️
https://bit.ly/3tH25UY
#development #waste #management #ecological #pollution #population",,"['#development', '#waste', '#management', '#ecological', '#pollution', '#population']",
17,@advindhealthcare,16-09-2021,"Don’t let the future go up with smoke. Save Ozone, Save Life. 

#advindhealthcare #health #environment #india #masks #pollution #airpollution #pollutionmask #aqi #airquality #badair #cleanair #breathe #antipollutionmask #facemasks #facemask  #N95masks #N99masks #antipollutionmasks #airpurifiers #airpurification #indiapollution #likesforlikes #follow #environment #worldozoneday #ozone #ozoneday",2,"['#advindhealthcare', '#health', '#environment', '#india', '#masks', '#pollution', '#airpollution', '#pollutionmask', '#aqi', '#airquality', '#badair', '#cleanair', '#breathe', '#antipollutionmask', '#facemasks', '#facemask', '#N95masks', '#N99masks', '#antipollutionmasks', '#airpurifiers', '#airpurification', '#indiapollution', '#likesforlikes', '#follow', '#environment', '#worldozoneday', '#ozone', '#ozoneday']",
18,@SwarajyaMag,16-09-2021,"NITI Aayog Launches ’Shoonya’ Campaign To Promote Zero-Pollution Delivery Vehicles.

#NitiAayog #Pollution #ShoonyaCampaign #RMI",4,"['#NitiAayog', '#Pollution', '#ShoonyaCampaign', '#RMI']",
19,@Rai_neeraj78,16-09-2021,"It’s our prime duty to decrease #pollution on #earth in order to protect #ozonelayer. If not life on #mother_earth 🌍 would not be possible in future.

#ozoneday #ozonelayerday 
#worldozoneday 
#ozoneday2021
#saveearth 
#internationalozoneday
#worldozonedayduty
#protectozone
#climatechange
#ozone
#earth
#savetheozonelayer",2,"['#pollution', '#earth', '#ozonelayer.', '#mother_earth', '#ozoneday', '#ozonelayerday', '#worldozoneday', '#ozoneday2021', '#saveearth', '#internationalozoneday', '#worldozonedayduty', '#protectozone', '#climatechange', '#ozone', '#earth', '#savetheozonelayer']",['@ravi_bhalekar']
20,@newsupdates,15-09-2021,"Delhi Chief Minister Arvind Kejriwal has announced a complete ban on the sale, storage and use of firecrackers during Diwali festival.
 Like last year, the government has taken the decision owing to the severe pollution levels in the city.

#Delhi #ArvindKejriwal #diwali #pollution #greenearth",,"['#Delhi', '#ArvindKejriwal', '#diwali', '#pollution', '#greenearth']",['@manveer1191']
21,@advindhealthcare,15-09-2021,"To read the full article, Kindly visit - 
https://www.forbesindia.com/article/take-one-big-story-of-the-day/air-pollution-is-now-a-matter-of-lifes-and-death/70257/1
Source - Forbes India

#advindhealthcare #health #environment #india #masks #pollution #airpollution #pollutionmask #aqi #airquality #badair #cleanair #breathe #antipollutionmask #facemasks #facemask #Delhi",,"['#advindhealthcare', '#health', '#environment', '#india', '#masks', '#pollution', '#airpollution', '#pollutionmask', '#aqi', '#airquality', '#badair', '#cleanair', '#breathe', '#antipollutionmask', '#facemasks', '#facemask', '#Delhi']",
22,@goanewshub,13-09-2021,The tar balls have now surfaced in Zuari River & washed ashore at Cacra beach near Bambolim. #Pollution @CabralNilesh #Beach,,"['#Pollution', '#Beach']",
23,@advindhealthcare,09-09-2021,"”Military Grade N99 Mask”

The mask is designed with advanced and innovative technology and comes with two layers of activated Carbon. This mask is ideal for the people at risk of respiratory diseases and for people Living or travelling in areas with High Air Pollution.

#advindhealthcare #health #environment #india #masks #pollution #airpollution #pollutionmask #aqi #airquality #badair #cleanair",,"['#advindhealthcare', '#health', '#environment', '#india', '#masks', '#pollution', '#airpollution', '#pollutionmask', '#aqi', '#airquality', '#badair', '#cleanair']",
24,@virendrajourno,08-09-2021,"https://thecitynewsconnect.com/newsbrief/article-battery-of-hazards-in-lead-recycling
#iit #unicef #lead #pollution",1,"['#iit', '#unicef', '#lead', '#pollution']",['@Economy_Post1']
25,@advindhealthcare,07-09-2021,"To read the full article, kindly visit - 
https://www.bbc.com/news/world-asia-india-58419717
Source - BBC News 

#advindhealthcare #health #environment #india #masks #pollution #airpollution #pollutionmask #aqi #airquality #badair #cleanair #breathe #antipollutionmask #facemasks #facemask #Delhi #DelhiAirPollution #Delhipollution #N95masks #N99masks #antipollutionmasks #airpurifiers #airpurificati",,"['#advindhealthcare', '#health', '#environment', '#india', '#masks', '#pollution', '#airpollution', '#pollutionmask', '#aqi', '#airquality', '#badair', '#cleanair', '#breathe', '#antipollutionmask', '#facemasks', '#facemask', '#Delhi', '#DelhiAirPollution', '#Delhipollution', '#N95masks', '#N99masks', '#antipollutionmasks', '#airpurifiers', '#airpurificati']",
26,@IANS,05-09-2021,"An Indian filmmaker’s documentary about #pollution caused due to cement plants in the erstwhile forested areas of #Meghalaya has bagged the first place at the ’2021 Yale Environment 360 Video Contest’.

The documentary is titled ”The Story of Lumshnong”, by Aarti Srivastava.",6,"['#pollution', '#Meghalaya']",
27,@apeksha.sandesh,05-09-2021,"There is an increase in the #pollution level in our cities, also our #foodhabits have changed, and the combined effect of all of these has taken a toll on our hairs health.

So here we bring to you simple home remedies to tackle #hairthinning.

Link - 
https://apekshasandesh.com/home-remedies-to-tackle-hair-thinning",,"['#pollution', '#foodhabits', '#hairthinning.']",
28,@advindhealthcare,01-09-2021,"Install KAPPA 1000 indoors which upto 1000 square feet & eliminates all the harmful pollutants from the air.

To know more about us, Visit our website - 
https://www.advindhealthcare.com/
#Advindhealthcare #health #india #masks #pollution #airpollution #pollutionmask #facemasks #facemask #Delhipollution #antipollution #N95mask #N99mask #N99Respirator #antipollutionmasks",,"['#Advindhealthcare', '#health', '#india', '#masks', '#pollution', '#airpollution', '#pollutionmask', '#facemasks', '#facemask', '#Delhipollution', '#antipollution', '#N95mask', '#N99mask', '#N99Respirator', '#antipollutionmasks']",
29,@VishalShaw31,01-09-2021,#Pollution May Cut Life Expectancy Of 40% #Indians By 9 Years: US Study,4,"['#Pollution', '#Indians']",['@Puneet_Vizh']
30,@tridibbordoloi,31-08-2021,#pollution #madhubani,,"['#pollution', '#madhubani']",
31,@dr-ranjeet-mehta,29-08-2021,"Oneperson dies every 30  Sec in developing world fm diseases caused by #plastic #pollution &uncollected rubbish #FFI report & 1million ppl r dying each year fm conditions like diarrhoea,malaria, cancercaused by living near dumping grounds4waste & plastic #FFI #savelife #pollution",,"['#plastic', '#pollution', '#FFI', '#FFI', '#savelife', '#pollution']",
32,@MissionForEarth,25-08-2021,"Gomukh glacier is melting at unsustainable levels due to rapid increase in global warming.

If this continues, Floods followed by subsequent Droughts would be unavoidable leading to massive loss of human life. 


#climatechange #climate #globalwarming #climateemergency #climatecrisis #environment #water #sustainability #nature #conservation #pollution",11,"['#climatechange', '#climate', '#globalwarming', '#climateemergency', '#climatecrisis', '#environment', '#water', '#sustainability', '#nature', '#conservation', '#pollution']","['@gosai_vijay986', '@सीमाशंकर', '@Pawansinhaguruji', '@akankshasharma_', '@divyashandilya', '@yamglobal', '@Abhedya']"
33,@newsupdates,23-08-2021,"To fight pollution, we have installed India’s first smog tower in Delhi today. It can help clean air within one-kilometer range.
 It has been installed on an experiment basis and data from it will be analysed by #IITDelhi and #IITBombay: Delhi CM Arvind Kejriwal.

#ArvindKejriwal #Delhi #Mumbai #pollution",,"['#IITDelhi', '#IITBombay:', '#ArvindKejriwal', '#Delhi', '#Mumbai', '#pollution']",
34,@Himanshu_22,12-08-2021,"Today pollution is increasing as a big problem, small precautions and awareness will prove to be very useful in reducing pollution, it is the moral responsibility of all of us to stop pollution and reduce it.
Pollution Se Azadi
#Pollution 
#India
#Hindustan",1,"['#Pollution', '#India', '#Hindustan']",
35,@anil_singh9761,10-08-2021,"United Nation’s Report Delivers Stark Warning to The World About Climate Change and Global Warming....

#ClimateChange | #GlobalWarming | #wildfires | #ClimateCrisis |#Environment | #Pollution",1,"['#ClimateChange', '#GlobalWarming', '#wildfires', '#ClimateCrisis', '#Environment', '#Pollution']",['@anil_singh9761']
36,@NationFirst_2902,08-08-2021,"#Bolivia’s 2nd largest lake #Poopo has dried completely. The diversion of water for irrigation needs along with #ClimateChange & #Pollution have taken a big toll this time. Mother earth is tired...🌎
Yugaabd 5123🙏
#SaveEarthSaveLives🇮🇳",,"['#Bolivia’s', '#Poopo', '#ClimateChange', '#Pollution', '#SaveEarthSaveLives🇮🇳']",
37,@sociostory,06-08-2021,"The best time to act, was yesterday, the best we can do is today, but if we wait for tomorrow, it may just be too late. 
Mother nature is an unrelenting, unforgiving force, so it is probably best if we treat her well, and maybe, just maybe we can make up for the damage that has already been dealt with.
#climatechange #SAVEENVIRONMENTSAVENATURESAVEEARTHFORFUTURE  #sustainability #earth #pollution",8,"['#climatechange', '#SAVEENVIRONMENTSAVENATURESAVEEARTHFORFUTURE', '#sustainability', '#earth', '#pollution']","['@swamipunit123', '@SupriyaMudgalBrahmaRFPI', '@vaishnaviingale']"
38,@anil_singh9761,06-08-2021,"Every year millions of acres of land are consumed by forest fire and its increasing year by year. 

By raising temperatures, melting snow sooner, drying soils and forests, #climatechange #wildlife #wildfires #pollution #plastics are fueling the problem. #Environment #GreenPlanet",2,"['#climatechange', '#wildlife', '#wildfires', '#pollution', '#plastics', '#Environment', '#GreenPlanet']",['@anil_singh9761']
39,@newsupdates,06-08-2021,"Mumbai | 
Juhu beach sand turns black due to oil spill.

#Mumbai #Juhu #juhubeach #environment #saveearth #GlobalWarming #pollution #greenearth #alert",4,"['#Mumbai', '#Juhu', '#juhubeach', '#environment', '#saveearth', '#GlobalWarming', '#pollution', '#greenearth', '#alert']",
0,@kamal_chauhans,02-08-2021,"The 22 km stretch of #Yamuna from #Wazirabad to #Okhla in #Delhi, which is less than 2% of the #river length, accounts for about 80% of the #pollution load in the river.",,"['#Yamuna', '#Wazirabad', '#Okhla', '#Delhi,', '#river', '#pollution']",
1,@ranjiesh,30-07-2021,"#MMLP ( Multi-Modal Logitics Park) getting created across various states which will help lowering #freight-cost, reduce vehicular #pollution and #congestion while reducing warehousing cost. 35 such parks are planned with the first one in ASSAM and the biggest one in GUJRAT..this will provide huge employment opportunity besides creating FDI window..@mygovindia @morthindia @RailMinIndia",,"['#MMLP', '#freight-cost,', '#pollution', '#congestion']",
2,@readselective,26-07-2021,"Pollution turns Argentina lake bright pink 
#Argentina 
#pollution 
#ReadSelective ",,"['#Argentina', '#pollution', '#ReadSelective']",
3,@learnwithcomics,25-07-2021,"Hey, #youngexplorer!!
Do you know River pollution is damaging to the environment and to human health. We can help you to capture harmful pollutants before they ever reach a river. 
http://learnwithcomics.org/explore/9/Geography/comic/857/River_Pollution
#River 
#pollution 
#riverpollution
#pesticides 
#comics",,"['#youngexplorer!!', '#River', '#pollution', '#riverpollution', '#pesticides', '#comics']",
4,@anil_singh9761,23-07-2021,"#Climatechange fueled the devastating floods in Europe, Wake Up Call from Nature ?#Environment #GreenPlanet #Pollution #GlobalWarming
https://wordlnewsupdate.in/2021/07/23/climatechange-fueled-the-devastating-floods-in-europe-wake-up-call-from-nature-environment-greenplanet-pollution-globalwarming/",2,"['#Climatechange', '#Environment', '#GreenPlanet', '#Pollution', '#GlobalWarming']",['@anil_singh9761']
5,@capt_ranjan_banerjee,21-07-2021,"This gentle man who is blatantly lying on twitter is a renowned historian 🤔🤔how can I believe him, specially when he himself doesn’t believe in Hindu religion 🤔😡😡😡😡Congis perpetually make such people write history to suit their agenda n then brainwash school children at a tender age🤔 @PMOIndia @smritiirani @MGA #pollution #Congress #prestitutes #media #pre-schoollearning",3,"['#pollution', '#Congress', '#prestitutes', '#media', '#pre-schoollearning']",['@Vishal_108']
6,@anil_singh9761,20-07-2021,#Pollution and Petrol Free -Technology Thinking face #Environment,1,"['#Pollution', '#Environment']",['@anil_singh9761']
7,@santoshsinghji,15-07-2021,#UttarPradesh Pollution Control Board (UPPCB) data shows that the #pollution level in the #Yamuna has worsened this year,,"['#UttarPradesh', '#pollution', '#Yamuna']",
8,@anil_singh9761,14-07-2021,"Carbon Craft Design - Turning Carbon Emissions into Sustainable Tiles, We Should Know... Tejas Sidnal  #Environment #Carbon #ClimateChange #GreenPlanet #Wildlife #Pollution
https://wordlnewsupdate.in/2021/07/14/carbon-craft-design-turning-carbon-emissions-into-sustainable-tiles-we-should-know-tejas-sidnal-environment-carbon-climatechange-greenplanet-wildlife-pollution/",1,"['#Environment', '#Carbon', '#ClimateChange', '#GreenPlanet', '#Wildlife', '#Pollution']",['@anil_singh9761']
9,@Pantomathicsantosh,14-07-2021,"#AdManKejriwal The worst performer
& The fraudest ever politician in entire #Politicalfraternity 
He will never talk about #Employment
#Contractteachers #Schooldropouts
#Contractlabours #Pollution 
#Dirtiest #Water #Supply
#Huge loss of #DTC #Jalboard 
Only Politics of #freebies Till how long Kejriwal Ji “The Ad Master” will keep wasting the hard earned money of Delhiites. Betrayel with Delhi??",3,"['#AdManKejriwal', '#Politicalfraternity', '#Employment', '#Contractteachers', '#Schooldropouts', '#Contractlabours', '#Pollution', '#Dirtiest', '#Water', '#Supply', '#Huge', '#DTC', '#Jalboard', '#freebies']","['@sandeepreddy9080', '@SHARMA14DELHI']"
10,@IANS,09-07-2021,"The #SupremeCourt on Friday declined to entertain the #Delhi government’s PIL seeking closure of 10 power plants in Punjab, Haryana and Uttar Pradesh, claiming they contributed majorly to #pollution in the national capital.",7,"['#SupremeCourt', '#Delhi', '#pollution']","['@KRHMATH', '@ponnappa_cheppudira8MV6K']"
11,@humaneleadership,08-07-2021,"#pollution
#health
#Narendramodi
#environment
During April 20 to April 21 most of which was lockdown period Delhi, Mumbai, Chennai Hyderabad Kolkata,Bangalore, Jaipur showed huge increase in pollution from 60 to 120%
When will we breath fresh air?
https://zeenews.india.com/india/greenpeace-report-from-april-2020-and-april-2021-shows-pollution-in-8-indian-cities-rose-at-alarming-rate-2374908.html",,"['#pollution', '#health', '#Narendramodi', '#environment']",['@humaneleadership']
12,@sociostory,08-07-2021,"Delhi recorded an increase of 125 per cent in NO2 (nitrogen dioxide) pollution between April 2020 and April 2021, according to a Greenpeace India study which analysed NO2 concentrations in India’s eight most-populous state capitals.
#delhi #pollution #airquality #no2level #lockdown #sociostory ",4,"['#delhi', '#pollution', '#airquality', '#no2level', '#lockdown', '#sociostory']",['@adway_rama']
13,@HINDU_RASHTRAWADI,08-07-2021,"Agniras (@i__Mystic) Tweeted:
Do you know the Punjab Preservation of Subsoil Water Act 2009 and Haryana Preservation of Sub-soil Water Act, 2009, are prime reason for #pollution in Delhi during #diwalifestiveseason

Interesting 🧐. Read on this small #Thread
https://t.co/WXbqGik7Gp
 https://twitter.com/i__Mystic/status/1325985141739589637?s=20",,"['#pollution', '#diwalifestiveseason', '#Thread']",
14,@pratyush_singh4TDKK,07-07-2021,"Diwali is around 4 months away, Dussehra is around 3 months away but still Delhi reeling with excruciating levels of pollution.

I am waiting that if the ’celebrities’ who always lecture us on burning crackers for the sake of ’environment’ have anything to say on this.

Guess they can’t blame Diwali this time.

#Pollution #Diwali #Kejriwal
 @iyervval",5,"['#Pollution', '#Diwali', '#Kejriwal']",
15,@drrambadari,05-07-2021,"#delhi #pollution
Delhi is back on its feet and with it comes its friend ‘Air Pollution‘",1,"['#delhi', '#pollution']",
16,@officialgnida,05-07-2021,"We, should try & reduce the #plastic #pollution level. This can be made possible by using #jute bags instead of #plastic bags. As jute is a #biodegradable product & can be recycled in many ways.
#Stopplastic
#GNIDACares",1,"['#plastic', '#pollution', '#jute', '#plastic', '#biodegradable', '#Stopplastic', '#GNIDACares']",
17,@iam_siddharthsomvanshi,04-07-2021,"IMPORTANT! 
Have you heard of FOREVER CHEMICALS and their effect on our body? 

If NO then watch. 
https://youtu.be/WIgLLpcanPM
Don‘t wait for change be the change. Please share with you loved once. We all together can do. 
#nationfirst #swachabharatavhiyan #digitalindia #india #pollution #narendramodi #indian #cleanindia #nature #science #chemicals",1,"['#nationfirst', '#swachabharatavhiyan', '#digitalindia', '#india', '#pollution', '#narendramodi', '#indian', '#cleanindia', '#nature', '#science', '#chemicals']",
18,@tarishisaxena,03-07-2021,what we learn from history is that we learn nothing from history‘ #pollution,3,['#pollution'],
19,@VidwathApp,03-07-2021,"International Plastic Bag Free Day is dedicated to raising awareness about the very real and pressing issue of plastic pollution of the environment.

#plasticbagfreeday #plasticfreeforthesea #bag #plasticpollution #Pollution #VidwathApp #VidwathMithra #Vidwath",,"['#plasticbagfreeday', '#plasticfreeforthesea', '#bag', '#plasticpollution', '#Pollution', '#VidwathApp', '#VidwathMithra', '#Vidwath']",
20,@vrikshawali,02-07-2021,"#InternationalPlasticBagFreeDay
Plastic give a helpful hand, but they are polluting our land
#jaipurcity #Environment #Plantation #adoptplant 
“#Plant more #trees; make the environment #pollution free.”
https://www.vrikshawali.org/contribute-other.aspx",,"['#InternationalPlasticBagFreeDay', '#jaipurcity', '#Environment', '#Plantation', '#adoptplant', '#Plant', '#trees;', '#pollution']",
21,@mumbaimatterz,30-06-2021,"#Mumbai

Transport the top polluter in city.

#AirPollution
#Pollution
#pollutionfreeplanet",,"['#Mumbai', '#AirPollution', '#Pollution', '#pollutionfreeplanet']",
22,@Avinash_7VS,28-06-2021,Essay Writing on Pollution in English Simple Words #essaywriting  #Pollution #AirPollution #watercrises  #gkwebsite_gk  #gk_in_hindi  #Essayforkids #education👍  #educationisarightnotaprivilege  #educationforlife  #EducationADDA #educationforall.  @edu_मित्र @EDU_BHASKAR @DEBUPATRA @mayank @aprameya @education_point,,"['#essaywriting', '#Pollution', '#AirPollution', '#watercrises', '#gkwebsite_gk', '#gk_in_hindi', '#Essayforkids', '#education👍', '#educationisarightnotaprivilege', '#educationforlife', '#EducationADDA', '#educationforall.']",
23,@dipakEQDBP,25-06-2021,"#pollution
We should use cycle for short range works when we can also do that work by walk.make it easy",,['#pollution'],
24,@IANS,23-06-2021,"India rejoiced in the silver lining of clear skies during the #COVID19 resultant #lockdown in 2020 & 2021 but an analysis by New Delhi-based climate communications initiative, Climate Trends showed #pollution levels remained above permissible limits in Delhi and Lucknow.",2,"['#COVID19', '#lockdown', '#pollution']",
25,@newsupdates,23-06-2021,"#WATCH |
 A layer of toxic foam seen floating on the surface of river #Yamuna.

Morning visuals from #Delhi‘s #KalindiKunj 

#River #YamunaRiver #nature #pollution #savenature #greenearth #GoGreen #video #alert #saveearth #GlobalWarming #greenhouseeffect",1,"['#WATCH', '#Yamuna.', '#Delhi‘s', '#KalindiKunj', '#River', '#YamunaRiver', '#nature', '#pollution', '#savenature', '#greenearth', '#GoGreen', '#video', '#alert', '#saveearth', '#GlobalWarming', '#greenhouseeffect']",
26,@dkm1101,23-06-2021,"Can Chemical Recycling Technology Solve the Plastic Pollution Problem?

#Recycling #Pollution #Economy #World #News 
#TechNews",,"['#Recycling', '#Pollution', '#Economy', '#World', '#News', '#TechNews']",
27,@commercenewsguruji,17-06-2021,"Common format for issuance of PUC is notified across the Country.
.
.
.
.
👇🏻Click on the link below👇🏻

#puc #format #road #Transport #Certificate #vehicles #service #document #information #compliance #authority #permit #pollution #Pollutioncontrol #CommerceNewsGuruji",,"['#puc', '#format', '#road', '#Transport', '#Certificate', '#vehicles', '#service', '#document', '#information', '#compliance', '#authority', '#permit', '#pollution', '#Pollutioncontrol', '#CommerceNewsGuruji']",
28,@tcqmedia,13-06-2021,"OUTDOOR POLLUTION DROPS; ALLERGEN LEVELS AT HOMES INCREASES

As Covid restrictions continues across the globe, higher levels of indoor particulate matter can once again be expected, as stated by a study. Outdoor pollution level appeared to drop during Covid-induced periods of lockdown.
#pollution #lockdown #theconsequentials #tcqtheconsequentials

Follow TCQ 
https://instagram.com/theconsequentials",,"['#pollution', '#lockdown', '#theconsequentials', '#tcqtheconsequentials']",
29,@timane,11-06-2021,"Fostering market demand for #green industries

It is important to not only bridge the #demandgap for an optimal transition to green growth, but also create appropriate legal #frameworks to actualise their potential.

#circulareconomy #sustainability  #greenproducts #climatechange  #climateeconomy #energy #carboneconomy #waste #agriculture #greenhouse #emission #pollution #evehicles #cenent",1,"['#green', '#demandgap', '#frameworks', '#circulareconomy', '#sustainability', '#greenproducts', '#climatechange', '#climateeconomy', '#energy', '#carboneconomy', '#waste', '#agriculture', '#greenhouse', '#emission', '#pollution', '#evehicles', '#cenent']","['@circulareconomy', '@timane']"
30,@north.eastern.chronicle,10-06-2021,"#Meghalaya| Unregulated pollution has been a pressing issue in the state of Meghalaya. In a recent incident, residents living near Jaintia Coke Private Limited, a non-government organization listed with the Registrar of Companies in Shillong, have raised matters about unregulated air and water pollution.
#pollution #northeast #tnec",1,"['#Meghalaya|', '#pollution', '#northeast', '#tnec']","['@rahul_mBBMHF', '@VimalKhawas']"
31,@elibran,07-06-2021,"#pollution #seasnot . World , fix yourself before it‘s too late...",,"['#pollution', '#seasnot']",
32,@tarakke,06-06-2021,Simple ways to reduce your carbon footprint at home . #pollution #pollutionfree #pollutioncontrol #carbon #climatechange #environment #sustainability #recycling #ecofriendly #gogreen #plastic #recycle #health,2,"['#pollution', '#pollutionfree', '#pollutioncontrol', '#carbon', '#climatechange', '#environment', '#sustainability', '#recycling', '#ecofriendly', '#gogreen', '#plastic', '#recycle', '#health']",
33,@newsupdates,06-06-2021,"#Delhi | Thick layer of #toxicfoam floats on the surface of #Yamunariver at #KalindiKunj.

Yesterday we celebrated #WorldEnviromentDay & this is what we are seeing today.

#protectearth #gogreen #pollution #savenature #greenearth #nature #environment",,"['#Delhi', '#toxicfoam', '#Yamunariver', '#KalindiKunj.', '#WorldEnviromentDay', '#protectearth', '#gogreen', '#pollution', '#savenature', '#greenearth', '#nature', '#environment']",
34,@asn67,05-06-2021,"#विश्व_पर्यावरण_दिवस 
#कू #up #UPCM #UPGovt #pollution 
#noisepollution 

Time to take hard action for betterment of citizens and City 
https://m.timesofindia.com/city/lucknow/chowk-most-cacophonous-during-day-charbagh-at-night/amp_articleshow/83247748.cms",,"['#विश्व_पर्यावरण_दिवस', '#कू', '#up', '#UPCM', '#UPGovt', '#pollution', '#noisepollution']",
35,@timane,04-06-2021,"The #Greening Imperative

How Indian #States Are Promoting #Sustainable Industry
▶️ #Wastewater Management
▶️ #Water and #Energy #Conservation
▶️ #Renewable Energy
▶️ #Pollution Control
▶️ Sustainable #IndustrialParks / Clusters

#CircularEconomy #SDGs",1,"['#Greening', '#States', '#Sustainable', '#Wastewater', '#Water', '#Energy', '#Conservation', '#Renewable', '#Pollution', '#IndustrialParks', '#CircularEconomy', '#SDGs']",['@circulareconomy']
