,username,following,followers,totaltweets,retweetcount,retweeters
55,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
56,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
57,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
58,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
59,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
60,salikruk,1661,1039,1595,0,[]
61,OpinadorProfes4,6830,6424,24763,7,"['omareivaj', 'LeBlasE1', 'carenero12', 'Sufero1', 'MiguelGomezdel6', 'AgoizS', 'GeorgesBrasse11']"
62,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
63,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
64,DerekKohl2,16,3,518,0,[]
65,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
66,utsav__89,134,34,3935,0,[]
67,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
68,JesseWBasedKing,588,138,904,0,[]
69,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
70,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
71,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
72,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
73,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
74,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
75,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
76,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
77,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
78,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
79,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
80,OpinadorProfes4,6830,6424,24763,22,"['POZI1972', 'villaragro', 'Hefesto1988', 'MasAlLiquindoi', 'alvaro1488', 'Rubn40166001', 'ooo09195206', 'PereH7', 'Adolfo_Aguile', 'Fer46400784', 'ATCoco2017', 'uno_de_Iliberri', 'DidiQuiros', 'Isa76_bcn', 'Joe11378149', 'MinerCDF', 'Carola25684027', 'Jackie_yo_soy', 'Ivanmatabmc']"
81,TeslanotMerc,163,134,2228,0,[]
82,info899526,31,7,100,1,['ar_evig']
83,James_TonyKnox,511,179,187,2,"['JFSebastian146', 'idek3339']"
84,James_TonyKnox,511,179,187,2,"['JFSebastian146', 'idek3339']"
85,James_TonyKnox,511,179,187,2,"['JFSebastian146', 'idek3339']"
86,BlueLivesMtr1,10,4,525,0,[]
87,BeLegalPerson,0,0,615,0,[]
88,BeLegalPerson,0,0,615,0,[]
89,bodymechanic7,541,140,7014,0,[]
90,JesseWBasedKing,588,138,904,0,[]
91,JesseWBasedKing,588,138,904,0,[]
92,suemitch2017,2488,1617,43488,2,"['james69366397', 'adetweetsit']"
93,JesseWBasedKing,588,138,904,0,[]
94,JesseWBasedKing,588,138,904,0,[]
95,JesseWBasedKing,588,138,904,1,['JoeMitc92885002']
96,Dani47858427,28,12,500,0,[]
97,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
98,JesseWBasedKing,588,138,904,0,[]
99,african_crisis,683,793,4496,0,[]
100,JesseWBasedKing,588,138,904,0,[]
101,JesseWBasedKing,588,138,904,0,[]
102,EndReplacism,23,5,351,0,[]
103,cantsignin,42,63,12609,0,[]
104,karrider,2428,2133,40677,0,[]
105,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
106,SyntaxXSindoll,2143,1247,826,0,[]
107,rolland_1996,9,2,22,0,[]
108,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
109,mandalacoffeecu,14,2,21,0,[]
110,FarooqSumar,316,1698,45803,0,[]
111,FUD_Champ,171,14,808,0,[]
112,BillydHawes,24,9,1693,0,[]
113,suemitch2017,2488,1617,43489,1,['WendyGore16']
114,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
115,suemitch2017,2488,1617,43489,2,"['james69366397', 'adetweetsit']"
116,suemitch2017,2488,1617,43489,2,"['james69366397', 'adetweetsit']"
117,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
118,ProgressParken,114,36,2978,0,[]
119,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
120,suemitch2017,2488,1617,43489,1,['WendyGore16']
121,EdwinT_SA,132,116,8257,1,['Gavin1652']
122,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
123,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
124,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
125,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
126,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
127,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
128,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
129,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
130,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
131,surfmoma2,163,200,9132,0,[]
132,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
133,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
134,OlsiJ,1559,2314,4100,0,[]
135,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
136,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
137,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
138,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
139,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
140,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
141,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
142,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
143,OpinadorProfes4,6830,6424,24763,30,"['JesseWBasedKing', 'luisroqui', 'PrettyKittyFR', 'AlamutDreams', 'mma0307', 'Lobobla84768621', 'Hernand_LeBeau', 'isabelmmallorca', 'agssanchez8', 'Lisariv11053642', 'Cris38245378', 'cuevas_dawson', 'bullenri', 'Olivia91328392', 'Megg_ConSentido', 'Hefesto1988', 'asemeyu', '____Belen__', 'Isa76_bcn']"
144,Weirdo19602,592,103,1374,0,[]
145,butterflylocss,396,9327,4551,1,['nattikinss']
146,ilovefinn69,14,11,38,0,[]
147,GameVoice_,27,27,1470,1,['GameVoice_']
148,motorheadmukund,45,75,1392,0,[]
149,00_s4nn,591,1290,343,0,[]
150,swayam_prusty,132,6,361,0,[]
