,username,following,followers,totaltweets,retweetcount,retweeters
365,FrenchFem,1738,5225,10645,14,"['FrenchFem', 'bloominanna', 'Nor010100', 'AhriTrader', 'DorothyHorrible', 'SuperLesbiannn', 'elviswhataguy', 'RavenclawMorgan', 'suemorris345', 'jun_the_swan', 'seonaidsnail', 'lesbianmetoo', 'K_IngalaSmith']"
366,tengbiao,7929,212198,36892,31,"['Maytechummia', 'ChuQiao18', 'tingdc', 'pijiudepi', 'zohrathought', 'WesJWHK', 'ArdenDoggie', 'johan__fischer', 'FY4Chan', 'IQueenjie', 'sonambsten', 'hkdemonow', 'wecando90663356', 'ABCHK12345', 'yaozhang02', 'AddoilNoccp', 'reidteacher', 'HKokbore', 'kevinrogerjames', 'GerdZeiler']"
367,MSN,757,227155,274501,1,['RitchieJodi']
368,bestflow203,34,1,1161,1,['SocialDesignCr1']
369,bee_papaya,86,150,10962,38,"['julietrosejames', 'MrsAngelMiller', 'anacgs6', 'Rose44537545', 'Gellert08956892', 'lara1574', 'Beeee51', 'Dedeehsz', 'aleeenicolini', 'Sarah05031966', 'donutlife98', 'u3065611', 'aviaum', 'TheBluntDagger', 'ByeSuccubus', 'CherylD59995761', 'LuizaSo68849728', 'PennywiseJulia']"
370,mercatornet,271,2496,11808,1,['bioedge']
371,nytimesworld,798,2118355,278086,10,"['PplFuture', 'CTGR8', 'raymundf23', 'alexfoti', 'FellwockPerry', 'JamieACM81', 'DavidColtart', 'EtrangeraSeoul', 'viriyabot']"
372,THR,2738,3320020,452166,24,"['helenmarie95', 'NoChillAuntie', 'AdorkableSmile', 'DonnerBella', 'roni1133', 'electrcspacegrl', 'sheltgarner', 'ahhelga', 'saltymulti', 'living_marble', 'clairewillett', 'moryan', 'megancox', 'bronwyn_douwsma', 'Coolranch4lyfe', 'MsLeeW', 'mmmexperimental', 'runawaycow', 'thecomicscomic', 'exhoopsPRguy']"
373,nytimes,854,50847443,452266,330,"['MarioLi01896012', 'whateverhewants', 'aoke1989', 'michael91128', 'XueEven', 'karna232332', 'danizaken', 'gdgzlck', 'GabeShepperd', 'MadAtoms23', '1nomdeplume', 'domisoHK', 'aliyoung_com', 'minkhantcf', 'Adriana11100542', 'ashlandJohn']"
374,EmmaWhipday,4258,2889,3690,3,"['JenniferRichar7', 'jamescummings', 'DrJoKRobinson']"
375,Danicaorth,213,73,1060,2,"['Soulsearcher241', 'BotForEquality']"
376,pinerpiner,262,10535,337,56,"['catsfaith', 'NancyYunTang', 'BruiseBringMore', 'bert_on_spec', 'chenchenzh', 'eggsis10tialist', 'LOudestVibE', 'xinwenxiaojie', 'ChuQiao18', 'amyue', 'Changxche', 'TheAnalytic', 'LarrypageB', 'GrandRevivalYay', 'elisabeth_ptl', 'TaiwanCulture', 'hermesstrategy', 'hkdemonow', 'suqi_wu_', 'PpaaddPpaadddd']"
377,Danicaorth,213,73,1060,2,"['Soulsearcher241', 'BotForEquality']"
378,Danicaorth,213,73,1060,2,"['Soulsearcher241', 'BotForEquality']"
379,WilliamYang120,6265,45641,40717,64,"['TaiwanCulture', 'adelila20', 'StacyChen20', 'sabaocean', 'daicing', 'EdwardL30161051', 'Magnus_Fiskesjo', 'haritho', 'pats_chen', 'kulotissima', 'vny_m01', 'smithwicks8888', 'Domdesu06', 'IamH0ngK0nger', 'KWCY10', 'AdamWar39760184']"
380,pinerpiner,262,10535,337,56,"['catsfaith', 'NancyYunTang', 'BruiseBringMore', 'bert_on_spec', 'chenchenzh', 'eggsis10tialist', 'LOudestVibE', 'xinwenxiaojie', 'ChuQiao18', 'amyue', 'Changxche', 'TheAnalytic', 'LarrypageB', 'GrandRevivalYay', 'elisabeth_ptl', 'TaiwanCulture', 'hermesstrategy', 'hkdemonow', 'suqi_wu_', 'PpaaddPpaadddd']"
381,sarahtk,1331,2046,6292,7,"['settle4me', 'houseofeffie', 'LauraJMG', 'SurvivorSing', 'hiresurvivors', 'SarahAnnMasse', 'BotForEquality']"
382,nytimesworld,798,2118356,278086,33,"['benjaminto2010', 'wonw080', 'MarioLi01896012', 'Tomadyan', 'IS58520479', 'Lee97703713', 'XueEven', 'wdlmnbsl', 'SheenCon', 'GongHoeng', 'tweet4852', 'ko_kkkkkts', 'Bao__baooo', 'domisoHK', 'Bunny79167773', 'waiming_w', 'ML03509599V2', 'SouthOfTheEarth', 'GaryLok4']"
383,guardian,1062,9996553,708895,34,"['benjaminto2010', 'wonw080', 'MarioLi01896012', 'Tomadyan', 'IS58520479', 'Lee97703713', 'wdlmnbsl', 'SheenCon', 'GongHoeng', 'ko_kkkkkts', 'Bao__baooo', 'domisoHK', 'Bunny79167773', 'waiming_w', 'Mizuki06927727', 'ML03509599V2', 'Chongpikling1', 'SouthOfTheEarth', 'GaryLok4']"
384,zetacompa,217,273,27210,0,[]
385,sarahtk,1331,2046,6292,7,"['settle4me', 'houseofeffie', 'LauraJMG', 'SurvivorSing', 'hiresurvivors', 'SarahAnnMasse', 'BotForEquality']"
386,KaceyKells,12273,19476,473924,13682,"['KSeebar', 'artyny59', 'annamagique', 'carlos_wilde', 'Anthony_OBrien_', 'tiffeejasso', 'MICHELL64959353', 'hotreads1', 'TommyNever1', 'TudorTweep', 'Joanna942', 'Car01am', 'lanalynneauthor', 'AnneBougret', 'AuthorJRose', 'peburns', 'ninsthewriter', 'vicky_whedbee', 'ElenaRu76305433', 'richard_cezar']"
