,username,following,followers,totaltweets,retweetcount,retweeters
417,IEAffiliate,4218,4294,156077,0,[]
418,IEAffiliate,4218,4294,156077,0,[]
419,IEAffiliate,4218,4294,156077,0,[]
420,IEAffiliate,4218,4294,156077,0,[]
421,IEAffiliate,4218,4294,156077,0,[]
422,IEAffiliate,4218,4294,156077,0,[]
423,IEAffiliate,4218,4294,156077,0,[]
424,IEAffiliate,4218,4294,156077,0,[]
425,The_BigQ,1577,917,5224,2,"['The_BigQ', 'WeenieLinguini']"
426,StephStance,515,641,32174,1,['WeenieLinguini']
427,JonBird67947709,1454,158,3721,1,['WeenieLinguini']
428,Rachmat_indra,2608,2004,3826,1,['WeenieLinguini']
429,StephStance,515,641,32174,1,['WeenieLinguini']
430,JonBird67947709,1454,158,3721,1,['WeenieLinguini']
431,Rachmat_indra,2608,2004,3826,1,['WeenieLinguini']
432,DanangTiyasworo,3,52,13034,1,['WeenieLinguini']
433,DanangTiyasworo,3,52,13034,1,['WeenieLinguini']
434,JonBird67947709,1454,158,3721,0,[]
435,YoussefDisla,573,461,15590,10,"['AR3oOO0C_DX_VHF', 'JohnCounts', 'Johnnyf46148074', 'lagertha66', 'politoken', 'nationwideusa', 'floridajanitor', 'radiationsurvey', 'thepluglist', 'EndemolNews']"
436,James_Hawke1,325,120,1561,1,['WeenieLinguini']
437,mysaladpie,106,11,51,1,['WeenieLinguini']
438,James_Hawke1,325,120,1561,1,['WeenieLinguini']
439,mysaladpie,106,11,51,1,['WeenieLinguini']
440,AnothervoiceWB,883,1729,10006,45,"['Montefrio31', 'JohnMarcmail', 'Gailsprowell', 'wimthetim', 'Artboy1', 'groganjim', 'aandywilson1', 'mnimnh', 'HSillitto', 'HughJaeger', 'AnothervoiceWB', 'Condefucius', 'hildaibrahim2', 'LittleBirdSteph', 'systonhouse', 'VoteYesSept', 'janemariewest', 'Andrew9Boswell', 'SrtobrienO']"
441,YoussefDisla,573,461,15590,10,"['AR3oOO0C_DX_VHF', 'JohnCounts', 'Johnnyf46148074', 'lagertha66', 'politoken', 'nationwideusa', 'floridajanitor', 'radiationsurvey', 'thepluglist', 'EndemolNews']"
442,YoussefDisla,573,461,15590,10,"['AR3oOO0C_DX_VHF', 'JohnCounts', 'Johnnyf46148074', 'lagertha66', 'politoken', 'nationwideusa', 'floridajanitor', 'radiationsurvey', 'thepluglist', 'EndemolNews']"
